rank,symbol,name,score,grade,one_year_direction
84,VBL,Varun Beverages Ltd.,70,Strong,declined
85,YATHARTH,Yatharth Hospital,70,Strong,declined
86,ABBOTINDIA,Abbott India,69,Strong,declined
87,ACUTAAS,Acutaas Chemical,69,Strong,held steady
88,AZAD,Azad Engineering,69,Strong,improved
89,BLS,BLS Internat.,69,Strong,held steady
90,COROMANDEL,Coromandel International Ltd.,69,Strong,declined
91,DELHIVERY,Delhivery,69,Strong,held steady
92,EUREKAFORB,Eureka Forbes,69,Strong,held steady
93,GRANULES,Granules India Ltd.,69,Strong,declined
94,QPOWER,Quality Power Elect.,69,Strong,held steady
95,TATACONSUM,Tata Consumer,69,Strong,declined
96,TVSMOTOR,TVS Motor Company Ltd.,69,Strong,held steady
97,DOMS,DOMS Industries,68,Strong,declined
98,HBLENGINE,HBL Engineering,68,Strong,held steady
99,HINDUNILVR,Hindustan Unilever Ltd.,68,Strong,improved
100,IKS,Inventurus Knowl,68,Strong,declined
101,NEULANDLAB,Neuland Labs.,68,Strong,held steady
102,PWL,Physicswallah,68,Strong,improved
103,TENNIND,Tenneco Clean,68,Strong,held steady
104,ZAGGLE,Zaggle Prepaid Ocean,68,Strong,declined
105,ARVINDFASN,Arvind Fashions,67,Strong,declined
106,CPPLUS,Aditya Infotech,67,Strong,held steady
107,HCG,Healthcare Global,67,Strong,declined
108,NAVINFLUOR,Navin Fluorine International Ltd.,67,Strong,held steady
109,NH,Narayana Hrudayalaya Ltd.,67,Strong,improved
110,PNGJL,PN Gadgil Jewellers,67,Strong,declined
111,POLICYBZR,PB Fintech.,67,Strong,improved
112,PRICOLLTD,Pricol,67,Strong,declined
113,SAILIFE,Sai Life,67,Strong,held steady
114,SCHAEFFLER,Schaeffler India Ltd.,67,Strong,declined
115,TBOTEK,TBO Tek,67,Strong,declined
116,UNOMINDA,Uno Minda,67,Strong,declined
117,VMM,Vishal Mega Mart,67,Strong,improved
118,WEWORK,Wework India Managem,67,Strong,declined
119,AEGISLOG,Aegis Logistics,66,Strong,improved
120,APARINDS,Apar Inds.,66,Strong,declined
121,CANHLIFE,Canara HSBC,66,Strong,declined
122,DMART,Avenue Supermarts Ltd.,66,Strong,declined
123,EIHOTEL,EIH Ltd.,66,Strong,held steady
124,FORTIS,Fortis Healthcare Ltd.,66,Strong,declined
125,GOKULAGRO,Gokul Agro Resources,66,Strong,held steady
126,GRASIM,Grasim Industries Ltd.,66,Strong,declined
127,LUMAXTECH,Lumax Auto Tech,66,Strong,held steady
128,NEWGEN,Newgen Software,66,Strong,held steady
129,SANOFICONR,Sanofi Cons. Health,66,Strong,held steady
130,SONACOMS,Sona BLW Precis.,66,Strong,declined
131,VMART,V-Mart Retail,66,Strong,declined
132,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,65,Strong,improved
133,ATHERENERG,Ather Energy,65,Strong,declined
134,BEL,Bharat Electronics Ltd.,65,Strong,declined
135,CMSINFO,CMS Info Systems,65,Strong,improved
136,DATAPATTNS,Data Pattern,65,Strong,held steady
137,ICICIGI,ICICI Lombard General Insurance Company Ltd.,65,Strong,declined
138,IRCTC,I R C T C,65,Strong,declined
139,JUBLFOOD,Jubilant Foodworks Ltd.,65,Strong,held steady
140,KIRLPNU,Kirloskar Pneumatic,65,Strong,improved
141,LEMONTREE,Lemon Tree Hotels Ltd.,65,Strong,declined
142,MAXHEALTH,Max Healthcare,65,Strong,held steady
143,NAM-INDIA,Nippon Life Ind.,65,Strong,held steady
144,OFSS,Oracle Financial Services Software Ltd.,65,Strong,improved
145,PAGEIND,Page Industries Ltd.,65,Strong,declined
146,RELIANCE,Reliance Industries Ltd.,65,Strong,declined
147,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,65,Strong,held steady
148,URBANCO,Urban Company,65,Strong,declined
149,WOCKPHARMA,Wockhardt Ltd.,65,Strong,declined
150,ABB,ABB India Ltd.,64,Decent,declined
151,ALKYLAMINE,Alkyl Amines Chem,64,Decent,declined
152,APOLLO,Apollo Micro Systems,64,Decent,declined
153,ASTERDM,Aster DM Healthcare Ltd.,64,Decent,declined
154,BRITANNIA,Britannia Industries Ltd.,64,Decent,declined
155,ICICIAMC,ICICI AMC,64,Decent,held steady
156,INTELLECT,Intellect Design Arena Ltd.,64,Decent,declined
157,KEI,KEI Industries Ltd.,64,Decent,improved
158,KSB,KSB,64,Decent,improved
159,MINDACORP,Minda Corporation Ltd.,64,Decent,declined
160,POWERINDIA,Hitachi Energy,64,Decent,declined
161,PRSMJOHNSN,Prism Johnson,64,Decent,improved
162,PTCIL,PTC Industries,64,Decent,held steady
163,RRKABEL,R R Kabel,64,Decent,declined
164,SUMICHEM,Sumitomo Chemi.,64,Decent,improved
165,AFFLE,Affle 3i,63,Decent,held steady
166,ALIVUS,Alivus Life Sciences,63,Decent,declined
167,AWFIS,Awfis Space Solution,63,Decent,held steady
168,CEATLTD,Ceat Ltd.,63,Decent,improved
169,CHALET,Chalet Hotels,63,Decent,declined
170,CRIZAC,Crizac,63,Decent,declined
171,GABRIEL,Gabriel India,63,Decent,declined
172,IEX,Indian Energy Exchange Ltd.,63,Decent,declined
173,INDIAMART,Indiamart Inter.,63,Decent,declined
174,KIRLOSENG,Kirloskar Oil Eng Ltd.,63,Decent,declined
175,RADICO,Radico Khaitan Ltd,63,Decent,improved
176,SANDUMA,Sandur Manganese,63,Decent,held steady
177,SAREGAMA,Saregama India,63,Decent,declined
178,TCS,Tata Consultancy Services Ltd.,63,Decent,held steady
179,USHAMART,Usha Martin,63,Decent,improved
180,WAKEFIT,Wakefit Innovations,63,Decent,held steady
181,ZFCVINDIA,ZF Commercial,63,Decent,declined
182,ABLBL,A B Lifestyle,62,Decent,improved
183,AKUMS,Akums Drugs & Pharmaceuticals,62,Decent,declined
184,ANTHEM,Anthem Bioscienc,62,Decent,improved
185,BIKAJI,Bikaji Foods,62,Decent,held steady
186,DABUR,Dabur India Ltd.,62,Decent,improved
187,ETERNAL,Eternal,62,Decent,declined
188,FIVESTAR,Five-Star Bus.Fi,62,Decent,improved
189,HAL,Hindustan Aeronautics Ltd.,62,Decent,held steady
190,KIMS,Krishna Institu.,62,Decent,held steady
191,KPITTECH,KPIT Technologi.,62,Decent,declined
192,MANYAVAR,Vedant Fashions,62,Decent,held steady
193,MARUTI,Maruti Suzuki India Ltd.,62,Decent,held steady
194,NIVABUPA,Niva Bupa Health,62,Decent,held steady
195,SAMHI,Samhi Hotels,62,Decent,declined
196,SHARDACROP,Sharda Cropchem,62,Decent,declined
197,TATACAP,Tata Capital,62,Decent,held steady
198,ASAHIINDIA,Asahi India Glas,61,Decent,improved
199,BELRISE,Belrise Industri,61,Decent,declined
200,ENTERO,Entero Healthcare,61,Decent,held steady
201,HONASA,Honasa Consumer,61,Decent,improved
202,HSCL,Himadri Speciality Chemical Ltd.,61,Decent,declined
203,JSLL,Jeena Sikho Life,61,Decent,improved
204,MSUMI,Motherson Wiring,61,Decent,held steady
205,PGIL,Pearl Global Inds.,61,Decent,declined
206,RATEGAIN,RateGain,61,Decent,held steady
207,SKYGOLD,Sky Gold & Diamonds,61,Decent,improved
208,TITAN,Titan Company Ltd.,61,Decent,held steady
209,WESTLIFE,Westlife Development,61,Decent,improved
210,AIAENG,AIA Engineering Ltd.,60,Decent,declined
211,AVALON,Avalon Technologies,60,Decent,held steady
212,BANCOINDIA,Banco Products,60,Decent,held steady
213,BECTORFOOD,Mrs Bectors Food,60,Decent,held steady
214,BERGEPAINT,Berger Paints India Ltd.,60,Decent,held steady
215,BIRLACORPN,Birla Corporation,60,Decent,declined
216,BLACKBUCK,BlackBuck,60,Decent,improved
217,DIXON,Dixon Technologies (India) Ltd.,60,Decent,declined
218,ELLEN,Ellenbarrie Indl.Gas,60,Decent,declined
219,ENDURANCE,Endurance Technologies Ltd.,60,Decent,held steady
220,FEDFINA,Fedbank Financial,60,Decent,declined
221,GLENMARK,Glenmark Pharmaceuticals Ltd.,60,Decent,improved
222,GMRAIRPORT,GMR Airports,60,Decent,improved
223,GODIGIT,Go Digit General,60,Decent,held steady
224,HDBFS,HDB FINANC SER,60,Decent,declined
225,HEROMOTOCO,Hero MotoCorp Ltd.,60,Decent,improved
226,INDIASHLTR,India Shelter Fin.,60,Decent,declined
227,IXIGO,Le Travenues Techno,60,Decent,improved
228,JAMNAAUTO,Jamna Auto Inds,60,Decent,improved
229,LTFOODS,L T Foods,60,Decent,declined
230,NUVAMA,Nuvama Wealth,60,Decent,held steady
231,SAGILITY,Sagility,60,Decent,declined
232,SUPRIYA,Supriya Lifescience,60,Decent,improved
233,TDPOWERSYS,TD Power Systems,60,Decent,declined
234,AVL,Aditya Vision,59,Decent,held steady
235,BOSCHLTD,Bosch Ltd.,59,Decent,declined
236,CASTROLIND,Castrol India Ltd.,59,Decent,improved
237,CROMPTON,Crompton Greaves Consumer Electricals Ltd.,59,Decent,held steady
238,CUB,City Union Bank Ltd.,59,Decent,improved
239,GRAVITA,Gravita India,59,Decent,declined
240,ICICIBANK,ICICI Bank Ltd.,59,Decent,improved
241,JBMA,JBM Auto,59,Decent,declined
242,LLOYDSME,Lloyds Metals,59,Decent,improved
243,MEDPLUS,Medplus Health Services,59,Decent,held steady
244,MPHASIS,MphasiS Ltd.,59,Decent,held steady
245,PIIND,PI Industries Ltd.,59,Decent,declined
246,PRESTIGE,Prestige Estates Projects Ltd.,59,Decent,held steady
247,PVRINOX,PVR Inox,59,Decent,held steady
248,SBILIFE,SBI Life Insurance Company Ltd.,59,Decent,held steady
249,SFL,Sheela Foam,59,Decent,improved
250,VAIBHAVGBL,Vaibhav Global,59,Decent,improved
251,VIYASH,Viyash Scientific,59,Decent,held steady
252,AETHER,Aether Inds,58,Decent,improved
253,BAJFINANCE,Bajaj Finance Ltd.,58,Decent,held steady
254,BALKRISIND,Balkrishna Industries Ltd.,58,Decent,held steady
255,ECLERX,eClerx Services Ltd.,58,Decent,improved
256,FEDERALBNK,Federal Bank Ltd.,58,Decent,improved
257,FORCEMOT,Force Motors,58,Decent,improved
258,HOMEFIRST,Home First Finan,58,Decent,held steady
259,HYUNDAI,Hyundai Motor I,58,Decent,declined
260,LAURUSLABS,Laurus Labs Ltd.,58,Decent,improved
261,LINDEINDIA,Linde India Ltd.,58,Decent,held steady
262,MGL,Mahanagar Gas Ltd.,58,Decent,declined
263,NTPCGREEN,NTPC Green Ene.,58,Decent,held steady
264,SHRIRAMFIN,Shriram Finance,58,Decent,held steady
265,STYRENIX,Styrenix Performance,58,Decent,improved
266,SUPREMEIND,Supreme Industries Ltd.,58,Decent,held steady
267,THANGAMAYL,Thangamayil Jeweller,58,Decent,held steady
268,TI,Tilaknagar Inds,58,Decent,held steady
269,TRANSRAILL,Transrail Lighting,58,Decent,declined
270,APTUS,Aptus Value Hou.,57,Decent,improved
271,ATUL,Atul Ltd.,57,Decent,improved
272,CEMPRO,Cemindia Project,57,Decent,declined
273,DATAMATICS,Datamatic Global Ser,57,Decent,declined
274,GODREJAGRO,Godrej Agrovet,57,Decent,improved
275,HEXT,Hexaware Tech.,57,Decent,declined
276,HINDZINC,Hindustan Zinc Ltd.,57,Decent,held steady
277,LGEINDIA,LG Electronics,57,Decent,declined
278,MCX,Multi Comm. Exc.,57,Decent,held steady
279,MFSL,Max Financial Services Ltd.,57,Decent,improved
280,MOTHERSON,Samvardh. Mothe.,57,Decent,improved
281,NESCO,Nesco,57,Decent,improved
282,PARKHOSPS,Park Medi World,57,Decent,improved
283,PINELABS,Pine Labs,57,Decent,improved
284,SHILPAMED,Shilpa Medicare,57,Decent,improved
285,STARHEALTH,Star Health Insu,57,Decent,held steady
286,STYL,Seshaasai Technologi,57,Decent,declined
287,TRENT,Trent Ltd.,57,Decent,held steady
288,UNITDSPR,United Spirits,57,Decent,held steady
289,V2RETAIL,V2 Retail,57,Decent,held steady
290,VGUARD,V-Guard Inds.,57,Decent,held steady
291,AADHARHFC,Aadhar Hsg. Fin.,56,Decent,declined
292,BLUESTARCO,Blue Star Ltd.,56,Decent,declined
293,CANBK,Canara Bank,56,Decent,held steady
294,CCL,CCL Products (I) Ltd.,56,Decent,improved
295,CGCL,Capri Global,56,Decent,held steady
296,DCBBANK,DCB Bank,56,Decent,declined
297,EPL,EPL,56,Decent,improved
298,HCLTECH,HCL Technologies Ltd.,56,Decent,improved
299,JSL,Jindal Stainless Ltd.,56,Decent,declined
300,JSWINFRA,JSW Infrast,56,Decent,held steady
301,KPIL,Kalpataru Proj.,56,Decent,held steady
302,NETWEB,Netweb Technol.,56,Decent,declined
303,PARAS,Paras Defence,56,Decent,held steady
304,PICCADIL,Piccadily Agro,56,Decent,improved
305,SANSERA,Sansera Engineering,56,Decent,improved
306,TATAELXSI,Tata Elxsi Ltd.,56,Decent,declined
307,TMCV,Tata Motors,56,Decent,improved
308,WAAREEENER,Waaree Energies,56,Decent,declined
309,AAVAS,Aavas Financiers Ltd.,55,Decent,improved
310,ATLANTAELE,Atlanta Electricals,55,Decent,declined
311,BAJAJFINSV,Bajaj Finserv Ltd.,55,Decent,declined
312,BLUESTONE,Bluestone Jewellery,55,Decent,held steady
313,CAMPUS,Campus Active,55,Decent,improved
314,CENTRALBK,Central Bank of India,55,Decent,declined
315,GMMPFAUDLR,GMM Pfaudler,55,Decent,held steady
316,HAVELLS,Havells India Ltd.,55,Decent,improved
317,INDUSTOWER,Indus Towers,55,Decent,improved
318,LICI,Life Insurance,55,Decent,held steady
319,MAHABANK,Bank of Maharashtra.,55,Decent,held steady
320,MARKSANS,Marksans Pharma,55,Decent,declined
321,SENCO,Senco Gold,55,Decent,held steady
322,SONATSOFTW,Sonata Software Ltd.,55,Decent,declined
323,UTLSOLAR,Fujiyama Power Syste,55,Decent,improved
324,VOLTAMP,Voltamp Transformers,55,Decent,held steady
325,WABAG,VA Tech Wabag,55,Decent,improved
326,WELCORP,Welspun Corp Ltd.,55,Decent,held steady
327,AEQUS,Aequs,54,Decent,improved
328,ASTRAMICRO,Astra Micro Wave,54,Decent,improved
329,AWL,AWL Agri Busine.,54,Decent,declined
330,CANFINHOME,Can Fin Homes Ltd.,54,Decent,declined
331,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,54,Decent,declined
332,CONCORDBIO,Concord Biotech,54,Decent,improved
333,DYNAMATECH,Dynamatic Tech,54,Decent,held steady
334,INFY,Infosys Ltd.,54,Decent,declined
335,ITC,ITC Ltd.,54,Decent,held steady
336,KIRLOSBROS,Kirloskar Brothers,54,Decent,improved
337,KOTAKBANK,Kotak Mahindra Bank Ltd.,54,Decent,held steady
338,LOTUSDEV,Sri Lotus Developers,54,Decent,held steady
339,LUPIN,Lupin Ltd.,54,Decent,improved
340,MUTHOOTFIN,Muthoot Finance Ltd.,54,Decent,held steady
341,ONESOURCE,OneSource Speci.,54,Decent,declined
342,REDINGTON,Redington (India) Ltd.,54,Decent,declined
343,SMLMAH,SML Mahindra,54,Decent,held steady
344,ZENTEC,Zen Technologies,54,Decent,declined
345,ABDL,Allied Blenders,53,Decent,improved
346,AUBANK,AU Small Finance Bank Ltd.,53,Decent,improved
347,AURIONPRO,Aurionpro Solutions,53,Decent,improved
348,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,53,Decent,improved
349,BLUEDART,Blue Dart Express Ltd.,53,Decent,held steady
350,CERA,Cera Sanitaryware,53,Decent,held steady
351,CGPOWER,CG Power and Industrial Solutions Ltd.,53,Decent,declined
352,ETHOSLTD,Ethos,53,Decent,declined
353,FSL,Firstsource Solutions Ltd.,53,Decent,held steady
354,GODFRYPHLP,Godfrey Phillips India Ltd.,53,Decent,held steady
355,HDFCLIFE,HDFC Life Insurance Company Ltd.,53,Decent,improved
356,HERITGFOOD,Heritage Foods,53,Decent,held steady
357,JAINREC,Jain Resource,53,Decent,held steady
358,JUBLPHARMA,Jubilant Pharmo,53,Decent,held steady
359,LTF,L&T Finance Ltd,53,Decent,held steady
360,LTM,LTM,53,Decent,declined
361,LTTS,L&T Technology Services Ltd.,53,Decent,improved
362,MRF,MRF Ltd.,53,Decent,improved
363,ORKLAINDIA,Orkla India,53,Decent,held steady
364,RAYMONDLSL,Raymond Lifestyle,53,Decent,improved
365,SAPPHIRE,Sapphire Foods,53,Decent,declined
366,SARDAEN,Sarda Energy,53,Decent,held steady
367,SCHNEIDER,Schneider Elect.,53,Decent,declined
368,SKFINDUS,SKF India (Indust.),53,Decent,held steady
369,SPLPETRO,Supreme Petroch.,53,Decent,declined
370,TATAPOWER,Tata Power Co. Ltd.,53,Decent,declined
371,UCOBANK,UCO Bank,53,Decent,declined
372,BANKBARODA,Bank of Baroda,52,Decent,held steady
373,BBTC,Bombay Burmah Trading Corporation Ltd.,52,Decent,declined
374,BLUEJET,Blue Jet Health,52,Decent,declined
375,CENTURYPLY,Century Plyboard,52,Decent,improved
376,DLF,DLF Ltd.,52,Decent,improved
377,ELECON,Elecon Engg.Co,52,Decent,held steady
378,EMAMILTD,Emami Ltd.,52,Decent,improved
379,FIEMIND,Fiem Inds,52,Decent,improved
380,GODREJIND,Godrej Industries Ltd.,52,Decent,held steady
381,JKCEMENT,J.K. Cement Ltd.,52,Decent,held steady
382,JYOTHYLAB,Jyothy Labs,52,Decent,held steady
383,KARURVYSYA,Karur Vysya Bank Ltd.,52,Decent,held steady
384,LT,Larsen & Toubro Ltd.,52,Decent,held steady
385,SIEMENS,Siemens Ltd.,52,Decent,declined
386,STARCEMENT,Star Cement,52,Decent,improved
387,SYRMA,Syrma SGS Tech.,52,Decent,improved
388,TIMKEN,Timken India Ltd.,52,Decent,improved
389,VARROC,Varroc Engineering,52,Decent,held steady
390,YESBANK,Yes Bank Ltd.,52,Decent,improved
391,ABCAPITAL,Aditya Birla Capital Ltd.,51,Decent,improved
392,AHLUCONT,Ahluwalia Contracts,51,Decent,held steady
393,ANUP,Anup Engineering,51,Decent,held steady
394,CLEAN,Clean Science,51,Decent,held steady
395,FIRSTCRY,Brainbees Solut.,51,Decent,held steady
396,GAEL,Gujarat Ambuja Exp,51,Decent,improved
397,GRSE,Garden Reach Sh.,51,Decent,held steady
398,HINDALCO,Hindalco Industries Ltd.,51,Decent,declined
399,INDIGO,InterGlobe Aviation Ltd.,51,Decent,improved
400,JSWCEMENT,JSW Cement,51,Decent,held steady
401,MAZDOCK,Mazagon Dock,51,Decent,declined
402,NTPC,NTPC Ltd.,51,Decent,declined
403,PNBHOUSING,PNB Housing Finance Ltd.,51,Decent,held steady
404,POONAWALLA,Poonawalla Fin,51,Decent,improved
405,RBA,Restaurant Brands,51,Decent,improved
406,SBFC,SBFC Finance,51,Decent,held steady
407,SHYAMMETL,Shyam Metalics,51,Decent,declined
408,SOUTHBANK,South Indian Bank,51,Decent,improved
409,TATACOMM,Tata Comm,51,Decent,declined
410,TEGA,Tega Inds.,51,Decent,improved
411,TIMETECHNO,Time Technoplast,51,Decent,improved
412,TMB,Tamilnad Mercantile,51,Decent,held steady
413,WELENT,Welspun Enterprises,51,Decent,improved
414,ZYDUSWELL,Zydus Wellness Ltd.,51,Decent,improved
415,ADANIPOWER,Adani Power Ltd.,50,Decent,held steady
416,AMBUJACEM,Ambuja Cements Ltd.,50,Decent,improved
417,ANURAS,Anupam Rasayan,50,Decent,declined
418,ARVIND,Arvind,50,Decent,held steady
419,ATGL,Adani Total Gas,50,Decent,held steady
420,AVANTIFEED,Avanti Feeds,50,Decent,held steady
421,BRIGADE,Brigade Enterprises Ltd.,50,Decent,declined
422,CARBORUNIV,Carborundum Universal Ltd.,50,Decent,held steady
423,CESC,CESC Ltd.,50,Decent,improved
424,CRAFTSMAN,Craftsman Auto,50,Decent,held steady
425,CRAMC,Canara Robeco Asset,50,Decent,declined
426,DIVISLAB,Divi's Laboratories Ltd.,50,Decent,improved
427,GALLANTT,Gallantt Ispat L,50,Decent,held steady
428,GODREJPROP,Godrej Properties Ltd.,50,Decent,held steady
429,HINDCOPPER,Hindustan Copper Ltd.,50,Decent,declined
430,HUDCO,Housing & Urban Development Corporation Ltd.,50,Decent,improved
431,IDFCFIRSTB,IDFC First Bank Ltd.,50,Decent,held steady
432,INDIAGLYCO,India Glycols,50,Decent,improved
433,IOB,Indian Overseas Bank ,50,Decent,held steady
434,ITCHOTELS,ITC Hotels,50,Decent,held steady
435,JIOFIN,Jio Financial,50,Decent,improved
436,JUBLINGREA,Jubilant Ingrev.,50,Decent,improved
437,MOTILALOFS,Motilal Oswal Financial Services Ltd.,50,Decent,improved
438,REDTAPE,Redtape,50,Decent,held steady
439,REFEX,Refex Industries,50,Decent,declined
440,SAFARI,Safari Industries(I),50,Decent,improved
441,SHREECEM,Shree Cement Ltd.,50,Decent,improved
442,SKIPPER,Skipper,50,Decent,declined
443,SRF,SRF Ltd.,50,Decent,declined
444,TVSSCS,TVS Supply Chain Sol,50,Decent,improved
445,APOLLOTYRE,Apollo Tyres Ltd.,49,Mixed,improved
446,BALUFORGE,Balu Forge Inds,49,Mixed,improved
447,BAYERCROP,Bayer Crop Sci.,49,Mixed,held steady
448,CREDITACC,CreditAccess Grameen Ltd.,49,Mixed,held steady
449,DRREDDY,Dr. Reddy's Laboratories Ltd.,49,Mixed,declined
450,EMIL,Electronics Mart Ind,49,Mixed,held steady
451,GROWW,Billionbrains,49,Mixed,improved
452,HAPPSTMNDS,Happiest Minds Tech.,49,Mixed,held steady
453,IIFL,IIFL Finance,49,Mixed,improved
454,KRN,KRN Heat Exch Refrig,49,Mixed,improved
455,MAPMYINDIA,C.E. Info System,49,Mixed,improved
456,NUVOCO,Nuvoco Vistas,49,Mixed,improved
457,PARADEEP,Paradeep Phosph.,49,Mixed,held steady
458,PETRONET,Petronet LNG Ltd.,49,Mixed,held steady
459,PNB,Punjab National Bank,49,Mixed,improved
460,PPLPHARMA,Piramal Pharma,49,Mixed,improved
461,SIGNATURE,SignatureGlobal,49,Mixed,declined
462,SYNGENE,Syngene International Ltd.,49,Mixed,improved
463,UNIONBANK,Union Bank of India,49,Mixed,improved
464,AMBER,Amber Enterp.,48,Mixed,declined
465,BAJAJHFL,Bajaj Housing,48,Mixed,declined
466,CSBBANK,CSB Bank,48,Mixed,declined
467,ENRIN,Siemens Ener.Ind,48,Mixed,improved
468,HINDPETRO,Hindustan Petroleum Corporation Ltd.,48,Mixed,held steady
469,IDBI,IDBI Bank Ltd.,48,Mixed,improved
470,IFBIND,IFB Industries,48,Mixed,held steady
471,JSFB,Jana Small Fin. Bank,48,Mixed,declined
472,JYOTICNC,Jyoti CNC Auto.,48,Mixed,held steady
473,KAJARIACER,Kajaria Ceramics Ltd.,48,Mixed,improved
474,KSCL,Kaveri Seed Co,48,Mixed,held steady
