symbol,index,date,ratio,implied,volume_step,level_hold
WEBELSOLAR,1374,2025-11-14,10.0,10.021,15.18,0.804
WENDT,1524,2025-05-15,1.25,1.25,29.85,1.016
WIPRO,1416,2024-12-03,2.0,1.979,1.56,1.045
YESBANK,338,2020-07-23,1.25,1.25,10.86,0.966
ZYDUSWELL,1612,2025-09-18,5.0,4.94,2.56,0.901
ANUP,1254,2024-04-23,2.0,1.923,2.09,1.01
FCSSOFT,11,2019-04-18,1.25,1.25,1.6,1.0
FCSSOFT,48,2019-06-14,1.25,1.25,1.99,1.0
FCSSOFT,114,2019-11-06,1.25,1.25,1.74,1.0
FCSSOFT,118,2019-11-13,1.25,1.25,1.61,1.0
FCSSOFT,122,2019-11-19,1.25,1.25,1.54,1.0
FCSSOFT,163,2020-01-16,1.25,1.25,1.64,1.0
FCSSOFT,169,2020-01-24,1.25,1.25,1.57,1.0
GOKULAGRO,1469,2025-10-14,2.0,1.997,1.5,0.894
RGL,809,2022-07-19,5.0,4.996,2.95,0.88
MAHESHWARI,373,2021-02-02,1.25,1.244,1.99,1.145
METROPOLIS,1707,2026-03-20,4.0,3.88,6.67,1.0
INDIAMART,978,2023-06-21,2.0,1.985,2.33,0.959
SATIA,58,2019-10-15,10.0,9.858,21.01,1.067
ICICIBANKN,769,2022-09-01,10.0,10.141,18.75,1.015
SIRCA,812,2023-05-11,2.0,1.954,1.78,1.011
AFFLE,414,2021-10-07,5.0,4.934,2.84,0.985
SWSOLAR,57,2019-11-18,1.25,1.25,8.37,0.9
VISHAL,86,2020-12-16,1.5,1.531,2.02,0.983
KRISHANA,1395,2026-07-03,5.0,4.921,7.83,1.007
MBAPL,1146,2026-07-03,5.0,5.015,9.05,1.127
SAFARI,1049,2023-12-12,2.0,1.971,2.17,1.012
IRCTC,505,2021-10-28,5.0,5.055,1.31,1.036
KUANTUM,177,2020-07-14,10.0,10.139,33.16,0.756
ABSLBANETF,498,2021-11-25,10.0,9.872,10.43,0.972
JASH,1183,2024-10-30,5.0,4.999,5.88,1.001
ARTEMISMED,328,2021-09-23,10.0,9.852,22.77,0.871
MAHEPC,1153,2025-03-25,1.25,1.221,2.02,1.099
BORORENEW,10,2020-03-23,5.0,5.068,2.99,0.976
ANDHRAPAP,1114,2024-09-11,5.0,4.953,2.8,0.901
GEEKAYWIRE,109,2021-02-02,1.25,1.268,2.02,1.09
GEEKAYWIRE,688,2024-02-12,2.0,2.057,1.94,0.866
GEEKAYWIRE,1046,2025-10-30,2.0,1.968,2.58,0.935
MITTAL,707,2023-11-01,10.0,9.946,11.47,0.924
NDRAUTO,798,2024-09-25,2.0,1.927,1.24,0.85
COFORGE,1180,2025-06-04,5.0,4.944,4.09,1.077
ICICITECH,504,2022-09-01,10.0,9.8,25.84,0.976
SHAREINDIA,928,2024-06-27,5.0,4.989,5.26,1.002
CAMS,1276,2025-12-05,5.0,5.0,2.57,0.952
VALIANTORG,56,2020-12-24,2.0,1.975,1.15,0.92
LIKHITHA,517,2022-12-02,2.0,1.946,2.09,0.997
BECTORFOOD,1225,2025-12-12,5.0,4.984,5.59,0.913
SECURKLOUD,955,2026-03-02,1.25,1.267,2.28,0.927
HLEGLAS,409,2022-10-18,5.0,4.997,3.05,0.902
BCLIND,534,2023-10-27,10.0,9.809,8.87,1.017
SMCGLOBAL,1153,2025-11-14,2.0,1.932,4.52,0.906
EASEMYTRIP,177,2022-02-28,2.0,1.921,2.45,1.062
LODHA,524,2023-05-31,2.0,1.957,2.83,1.198
TEMBO,919,2026-08-05,10.0,9.617,16.07,1.041
ORCHPHARMA,43,2022-01-10,2.0,2.022,5.32,0.992
DEEPINDS,474,2023-04-10,2.0,1.982,5.87,1.133
MOKSH,38,2021-07-14,5.0,4.924,4.87,1.225
ARIHANTCAP,206,2022-04-12,5.0,4.986,2.44,0.868
KIMS,793,2024-09-13,5.0,4.912,2.72,0.999
HINDCON,493,2023-11-20,4.0,4.065,11.03,1.105
ROLEXRINGS,1034,2025-10-17,10.0,9.97,8.12,0.919
AMIORG,889,2025-04-25,2.0,1.97,1.93,1.055
COASTCORP,839,2025-03-04,5.0,4.921,13.85,0.968
BHAGCHEM,625,2024-05-02,10.0,9.874,5.85,0.929
ANGELONE,1059,2026-02-26,10.0,9.92,11.84,0.905
SIGACHI,460,2023-10-09,10.0,10.059,6.94,0.965
ANANDRATHI,796,2025-03-05,2.0,2.031,2.43,0.887
ANANDRATHI,1099,2026-06-03,2.0,1.989,1.9,1.01
KBCGLOBAL,216,2023-05-22,1.25,1.293,2.11,1.117
HPAL,453,2023-11-09,5.0,4.973,3.42,1.032
PCBL,59,2022-04-11,2.0,1.989,1.37,0.932
PDSL,129,2022-08-26,5.0,4.918,5.47,0.921
IONEXCHANG,320,2023-06-12,10.0,9.962,9.46,0.955
SHAILY,405,2023-11-23,5.0,4.93,6.49,0.893
ROTO,630,2024-11-08,2.0,1.976,2.26,0.92
KPIGREEN,182,2023-01-18,2.0,1.922,4.08,1.029
KPIGREEN,547,2024-07-18,2.0,1.999,3.35,0.777
KPIGREEN,552,2024-10-28,1.25,1.267,1.87,1.015
PIXTRANS,693,2025-02-17,1.25,1.241,1.92,1.013
LANCER,151,2022-12-16,2.0,1.972,2.35,0.981
SILVERTUC,885,2026-03-06,10.0,9.76,3.64,0.864
LICI,992,2026-05-29,2.0,1.988,2.86,0.978
MEDICO,86,2023-03-16,5.0,5.037,3.94,1.093
SPLPETRO,146,2023-01-06,2.0,1.997,1.91,0.951
MOTHERSON,79,2022-10-03,1.5,1.455,1.64,0.897
AXITA,84,2022-10-21,10.0,9.973,4.87,0.996
ESSENTIA,535,2026-08-11,1.25,1.216,2.29,0.867
MANORAMA,356,2024-03-07,5.0,4.932,13.0,0.864
RADHIKAJWE,210,2023-05-26,5.0,4.942,4.24,1.034
DYCL,663,2025-07-11,2.0,1.931,1.32,0.819
NAVA,608,2025-01-20,2.0,1.978,2.54,0.982
RAMRAT,838,2025-12-26,2.0,1.992,2.9,0.935
KSOLVES,520,2025-02-06,2.0,1.985,1.44,0.897
FUSION,424,2024-08-07,1.25,1.25,2.53,0.888
JTLIND,198,2023-09-07,2.0,1.937,2.24,1.033
JTLIND,489,2024-11-14,2.0,1.987,1.95,1.085
OSIAHYPER,70,2023-03-13,10.0,10.052,24.68,1.048
SHRIRAMFIN,507,2025-01-10,5.0,4.964,6.99,0.949
WEL,323,2024-11-12,10.0,9.932,9.35,0.863
KAMOPAINTS,273,2024-06-14,5.0,4.851,13.09,0.982
SBGLP,288,2024-04-18,10.0,9.823,7.7,1.122
POCL,395,2024-10-16,2.0,1.997,2.12,0.957
POCL,827,2026-07-21,2.5,2.459,1.95,0.915
SHRIPISTON,54,2023-11-06,1.5,1.472,4.31,1.106
MKPL,103,2023-11-10,10.0,9.935,10.18,1.019
HMAAGRO,121,2023-12-29,10.0,9.8,5.39,0.936
SENCO,382,2025-01-31,2.0,2.007,3.12,0.794
ADANIENSOL,304,2024-11-21,1.25,1.25,2.04,1.15
REDTAPE,354,2025-02-04,4.0,3.907,6.21,0.876
JLHL,698,2026-07-24,5.0,5.016,6.4,1.016
DIACABS,10,2025-03-24,1.25,1.285,1.92,0.98
NUVAMA,543,2025-12-26,5.0,5.01,3.65,0.953
HONASA,252,2024-11-18,1.25,1.214,4.25,0.86
FMCGIETF,93,2024-05-10,10.0,10.002,10.8,1.011
PVTBANIETF,49,2024-03-01,10.0,9.731,5.12,1.017
DAVANGERE,83,2024-05-31,10.0,10.0,36.76,0.96
BANKNIFTY1,478,2026-02-27,10.0,9.944,51.2,0.897
DEEDEV,162,2025-02-17,1.25,1.25,2.21,1.058
AGIIL,143,2025-02-07,2.0,1.973,3.46,0.917
AGIIL,307,2025-10-10,5.0,4.807,3.81,1.067
RPEL,77,2024-11-29,2.0,1.973,1.48,0.911
GROWWGOLD,317,2026-02-06,10.0,10.326,3.4,1.019
KMEW,271,2025-12-22,2.0,2.028,1.81,1.113
TARIL,9,2025-02-14,2.0,1.949,1.97,0.929
TARIL,187,2025-11-10,1.25,1.25,7.53,0.923
GROWWSLVR,177,2026-02-06,10.0,10.108,2.76,1.039
FISCHER,44,2025-09-12,10.0,9.944,10.36,0.982
RMDRIP,40,2025-09-26,10.0,10.034,9.07,0.949
GOLDADD,173,2026-08-28,10.0,9.882,4.93,0.967
CORDELIA,39,2026-08-25,10.0,10.231,18.77,1.003
