nse_symbol,company_name,industry,series,isin
ARVINDFASN,Arvind Fashions,,EQ,INE955V01021
ASAHIINDIA,Asahi India Glas,,EQ,INE439A01020
ASHAPURMIN,Ashapura Minechem,,EQ,INE348A01023
ASHOKA,Ashoka Buildcon,,EQ,INE442H01029
ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,EQ,INE208A01029
ASIANPAINT,Asian Paints Ltd.,CONSUMER GOODS,EQ,INE021A01026
ASKAUTOLTD,ASK Automotive,,EQ,INE491J01022
ASTERDM,Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE914M01019
ASTRAL,Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE006I01046
ASTRAMICRO,Astra Micro Wave,,EQ,INE386C01029
ATGL,Adani Total Gas,,EQ,INE399L01023
ATHERENERG,Ather Energy,,EQ,INE0LEZ01016
ATLANTAELE,Atlanta Electricals,,BE,INE0Z4F01028
ATUL,Atul Ltd.,CHEMICALS,EQ,INE100A01010
AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,EQ,INE949L01017
AURIONPRO,Aurionpro Solutions,,EQ,INE132H01018
AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,EQ,INE406A01037
AVALON,Avalon Technologies,,EQ,INE0LCL01028
AVANTIFEED,Avanti Feeds,,EQ,INE871C01038
AVL,Aditya Vision,,EQ,INE679V01027
AWFIS,Awfis Space Solution,,EQ,INE108V01019
AWL,AWL Agri Busine.,,EQ,INE699H01024
AXISBANK,Axis Bank Ltd.,FINANCIAL SERVICES,EQ,INE238A01034
AXISCADES,Axiscades Tech,,EQ,INE555B01013
AZAD,Azad Engineering,,EQ,INE02IJ01035
BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,EQ,INE917I01010
BAJAJELEC,Bajaj Electricals,,EQ,INE193E01025
BAJAJFINSV,Bajaj Finserv Ltd.,FINANCIAL SERVICES,EQ,INE918I01026
BAJAJHFL,Bajaj Housing,,EQ,INE377Y01014
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,EQ,INE118A01012
BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,EQ,INE296A01032
BALAMINES,Balaji Amines,,EQ,INE050E01027
BALKRISIND,Balkrishna Industries Ltd.,AUTOMOBILE,EQ,INE787D01026
BALRAMCHIN,Balrampur Chini Mills Ltd.,CONSUMER GOODS,EQ,INE119A01028
BALUFORGE,Balu Forge Inds,,EQ,INE011E01029
BANCOINDIA,Banco Products,,EQ,INE213C01025
BANDHANBNK,Bandhan Bank Ltd.,FINANCIAL SERVICES,EQ,INE545U01014
BANKBARODA,Bank of Baroda,FINANCIAL SERVICES,EQ,INE028A01039
BANKINDIA,Bank of India,FINANCIAL SERVICES,EQ,INE084A01016
BATAINDIA,Bata India Ltd.,CONSUMER GOODS,EQ,INE176A01028
BAYERCROP,Bayer Crop Sci.,,EQ,INE462A01022
BBOX,Black Bo,,EQ,INE676A01027
BBTC,Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,EQ,INE050A01025
BDL,Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE171Z01026
BECTORFOOD,Mrs Bectors Food,,EQ,INE495P01020
BEL,Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE263A01024
BELRISE,Belrise Industri,,EQ,INE894V01022
BEML,BEML Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE258A01024
BERGEPAINT,Berger Paints India Ltd.,CONSUMER GOODS,EQ,INE463A01038
BHARATFORG,Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE465A01025
BHARTIARTL,Bharti Airtel Ltd.,TELECOM,EQ,INE397D01024
BHARTIHEXA,Bharti Hexacom,,EQ,INE343G01021
BHEL,Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE257A01026
BIKAJI,Bikaji Foods,,EQ,INE00E101023
BIOCON,Biocon Ltd.,PHARMA,EQ,INE376G01013
BIRLACORPN,Birla Corporation,,EQ,INE340A01012
BLACKBUCK,BlackBuck,,EQ,INE0UIZ01018
BLS,BLS Internat.,,EQ,INE153T01027
BLUEDART,Blue Dart Express Ltd.,SERVICES,EQ,INE233B01017
BLUEJET,Blue Jet Health,,EQ,INE0KBH01020
BLUESTARCO,Blue Star Ltd.,CONSUMER GOODS,EQ,INE472A01039
BLUESTONE,Bluestone Jewellery,,EQ,INE304W01038
BORORENEW,Borosil Renewables,,EQ,INE666D01022
BOSCHLTD,Bosch Ltd.,AUTOMOBILE,EQ,INE323A01026
BPCL,Bharat Petroleum Corporation Ltd.,ENERGY,EQ,INE029A01011
BRIGADE,Brigade Enterprises Ltd.,CONSTRUCTION,EQ,INE791I01019
BRITANNIA,Britannia Industries Ltd.,CONSUMER GOODS,EQ,INE216A01030
BSE,BSE Ltd.,FINANCIAL SERVICES,EQ,INE118H01025
BSOFT,Birlasoft Ltd,,EQ,INE836A01035
CAMPUS,Campus Active,,EQ,INE278Y01022
CAMS,Cams Services,,EQ,INE596I01020
CANBK,Canara Bank,FINANCIAL SERVICES,EQ,INE476A01022
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES,EQ,INE477A01020
CANHLIFE,Canara HSBC,,EQ,INE01TY01017
CAPILLARY,Capillary Techno Ind,,EQ,INE0ILV01024
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA,EQ,INE475E01026
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE120A01034
CARTRADE,Cartrade Tech,,EQ,INE290S01011
CASTROLIND,Castrol India Ltd.,ENERGY,EQ,INE172A01027
CCAVENUE,AvenuesAI,,EQ,INE483S01020
CCL,CCL Products (I) Ltd.,CONSUMER GOODS,EQ,INE421D01022
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,EQ,INE736A01011
CEATLTD,Ceat Ltd.,AUTOMOBILE,EQ,INE482A01020
CELLO,Cello World,,EQ,INE0LMW01024
CEMPRO,Cemindia Project,,EQ,INE686A01026
CENTRALBK,Central Bank of India,FINANCIAL SERVICES,EQ,INE483A01010
CENTURYPLY,Century Plyboard,,EQ,INE348B01021
CERA,Cera Sanitaryware,,EQ,INE739E01017
CESC,CESC Ltd.,ENERGY,EQ,INE486A01021
CGCL,Capri Global,,EQ,INE180C01042
CGPOWER,CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE067A01029
CHALET,Chalet Hotels,,EQ,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,EQ,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation Ltd.,ENERGY,EQ,INE178A01016
CHOICEIN,Choice Intl.,,EQ,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,EQ,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,EQ,INE149A01033
CIEINDIA,CIE Automotive,,EQ,INE536H01010
CIPLA,Cipla Ltd.,PHARMA,EQ,INE059A01026
CLEAN,Clean Science,,EQ,INE227W01023
CMSINFO,CMS Info Systems,,EQ,INE925R01014
COALINDIA,Coal India Ltd.,METALS,EQ,INE522F01014
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE704P01025
COFORGE,Coforge,,EQ,INE591G01025
COHANCE,Cohance Life,,EQ,INE03QK01018
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,EQ,INE259A01022
CONCOR,Container Corporation of India Ltd.,SERVICES,EQ,INE111A01025
CONCORDBIO,Concord Biotech,,EQ,INE338H01029
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,EQ,INE169A01031
CORONA,CORONA Remedies,,EQ,INE02ZQ01018
CPPLUS,Aditya Infotech,,EQ,INE819V01029
CRAFTSMAN,Craftsman Auto,,EQ,INE00LO01017
CRAMC,Canara Robeco Asset,,EQ,INE218I01013
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,EQ,INE741K01010
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,EQ,INE007A01025
CRIZAC,Crizac,,EQ,INE0S4R01014
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,EQ,INE299U01018
CSBBANK,CSB Bank,,EQ,INE679A01013
CUB,City Union Bank Ltd.,FINANCIAL SERVICES,EQ,INE491A01021
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE298A01020
CUPID,Cupid,,EQ,INE509F01029
CYIENT,Cyient Ltd.,IT,EQ,INE136B01020
DABUR,Dabur India Ltd.,CONSUMER GOODS,EQ,INE016A01026
DALBHARAT,Dalmia BharatLtd,,EQ,INE00R701025
DATAMATICS,Datamatic Global Ser,,EQ,INE365B01017
DATAPATTNS,Data Pattern,,EQ,INE0IX101010
DBL,Dilip Buildcon,,EQ,INE917M01012
DBREALTY,Valor Estate,,BE,INE879I01012
DCBBANK,DCB Bank,,EQ,INE503A01015
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS,EQ,INE499A01024
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,EQ,INE501A01019
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS,EQ,INE288B01029
DELHIVERY,Delhivery,,EQ,INE148O01028
DEVYANI,Devyani Intl.,,EQ,INE872J01023
DIACABS,Diamond Power Infra,,EQ,INE989C01038
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,EQ,INE361B01024
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,EQ,INE935N01020
DLF,DLF Ltd.,CONSTRUCTION,EQ,INE271C01023
DMART,Avenue Supermarts Ltd.,CONSUMER GOODS,EQ,INE192R01011
DOMS,DOMS Industries,,EQ,INE321T01012
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,EQ,INE089A01031
DYNAMATECH,Dynamatic Tech,,EQ,INE221B01012
ECLERX,eClerx Services Ltd.,IT,EQ,INE738I01010
EDELWEISS,Edelweiss Financial Services,,EQ,INE532F01054
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,EQ,INE066A01021
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EQ,INE126A01031
EIEL,Enviro Infra Engine.,,EQ,INE0LLY01014
EIHOTEL,EIH Ltd.,SERVICES,EQ,INE230A01023
ELECON,Elecon Engg.Co,,EQ,INE205B01031
ELECTCAST,Electrosteel Castings,,EQ,INE086A01029
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE285A01027
ELLEN,Ellenbarrie Indl.Gas,,EQ,INE236E01022
EMAMILTD,Emami Ltd.,CONSUMER GOODS,EQ,INE548C01032
EMBDL,Embassy Developments,,EQ,INE069I01010
EMCURE,Emcure Pharma,,EQ,INE168P01015
EMIL,Electronics Mart Ind,,EQ,INE02YR01019
EMMVEE,Emmvee Photovol.,,EQ,INE1C6T01020
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE,EQ,INE913H01037
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION,EQ,INE510A01028
ENRIN,Siemens Ener.Ind,,EQ,INE1NPP01017
ENTERO,Entero Healthcare,,EQ,INE010601016
EPL,EPL,,EQ,INE255A01020
EQUITASBNK,Equitas Small Fin,,EQ,INE063P01018
ERIS,Eris Lifesciences Ltd.,PHARMA,EQ,INE406M01024
ESCORTS,Escorts Ltd.,AUTOMOBILE,EQ,INE042A01014
ETERNAL,Eternal,,EQ,INE758T01015
ETHOSLTD,Ethos,,EQ,INE04TZ01018
EUREKAFORB,Eureka Forbes,,EQ,INE0KCE01017
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,EQ,INE302A01020
FACT,F A C T,,EQ,INE188A01015
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,EQ,INE171A01029
FEDFINA,Fedbank Financial,,EQ,INE007N01010
FIEMIND,Fiem Inds,,EQ,INE737H01014
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE235A01022
FINPIPE,Finolex Industries,,EQ,INE183A01024
FIRSTCRY,Brainbees Solut.,,EQ,INE02RE01045
FIVESTAR,Five-Star Bus.Fi,,EQ,INE128S01021
FLUOROCHEM,Gujarat Fluoroch,,EQ,INE09N301011
FORCEMOT,Force Motors,,EQ,INE451A01017
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,EQ,INE061F01013
FSL,Firstsource Solutions Ltd.,IT,EQ,INE684F01012
GABRIEL,Gabriel India,,EQ,INE524A01029
GAEL,Gujarat Ambuja Exp,,EQ,INE036B01030
GAIL,GAIL (India) Ltd.,ENERGY,EQ,INE129A01019
GALLANTT,Gallantt Ispat L,,EQ,INE297H01019
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,EQ,INE017A01032
GHCL,GHCL,,EQ,INE539A01019
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,EQ,INE481Y01014
GILLETTE,Gillette India Ltd.,CONSUMER GOODS,EQ,INE322A01010
GLAND,Gland Pharma,,EQ,INE068V01023
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,EQ,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,EQ,INE935A01035
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS,EQ,INE131A01031
GMMPFAUDLR,GMM Pfaudler,,EQ,INE541A01023
GMRAIRPORT,GMR Airports,,EQ,INE776C01039
GNFC,GNFC,,EQ,INE113A01013
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS,EQ,INE260B01028
GODIGIT,Go Digit General,,EQ,INE03JT01014
GODREJAGRO,Godrej Agrovet,,EQ,INE850D01014
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,EQ,INE102D01028
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS,EQ,INE233A01035
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,EQ,INE484J01027
GOKEX,Gokaldas Exports,,EQ,INE887G01027
GOKULAGRO,Gokul Agro Resources,,EQ,INE314T01033
GPIL,Godawari Power,,EQ,INE177H01039
GPPL,Gujarat Pipavav Port,,EQ,INE517F01014
GRANULES,Granules India Ltd.,PHARMA,EQ,INE101D01020
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE371A01025
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE047A01021
GRAVITA,Gravita India,,EQ,INE024L01027
GREAVESCOT,Greaves Cotton,,EQ,INE224A01026
GROWW,Billionbrains,,EQ,INE0HOQ01053
GRSE,Garden Reach Sh.,,EQ,INE382Z01011
GRWRHITECH,Garware Hi Tech,,EQ,INE291A01017
GSFC,GSFC,,EQ,INE026A01025
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE066F01020
HAPPSTMNDS,Happiest Minds Tech.,,EQ,INE419U01012
HAVELLS,Havells India Ltd.,CONSUMER GOODS,EQ,INE176B01034
HBLENGINE,HBL Engineering,,EQ,INE292B01021
HCC,Hindustan Constr,,EQ,INE549A01026
HCG,Healthcare Global,,EQ,INE075I01017
HCLTECH,HCL Technologies Ltd.,IT,EQ,INE860A01027
HDBFS,HDB FINANC SER,,EQ,INE756I01012
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,EQ,INE127D01025
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,EQ,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE795G01014
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE545A01024
HEMIPROP,Hemisphere Prop,,EQ,INE0AJG01018
HERITGFOOD,Heritage Foods,,EQ,INE978A01027
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,EQ,INE158A01026
HEXT,Hexaware Tech.,,EQ,INE093A01041
HFCL,Himachal Fut Com Ltd.,TELECOM,EQ,INE548A01028
HGINFRA,HGIEL,,EQ,INE926X01010
HINDALCO,Hindalco Industries Ltd.,METALS,EQ,INE038A01020
HINDCOPPER,Hindustan Copper Ltd.,METALS,EQ,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY,EQ,INE094A01015
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,EQ,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,METALS,EQ,INE267A01025
HOMEFIRST,Home First Finan,,EQ,INE481N01025
HONASA,Honasa Consumer,,EQ,INE0J5401028
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE671A01010
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS,EQ,INE019C01026
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,EQ,INE031A01017
HYUNDAI,Hyundai Motor I,,EQ,INE0V6F01027
ICICIAMC,ICICI AMC,,EQ,INE346A01027
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,EQ,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ,INE726G01019
ICIL,Indo Count Inds,,EQ,INE483B01026
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,EQ,INE008A01015
IDEA,Vodafone Idea Ltd.,TELECOM,EQ,INE669E01016
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,EQ,INE092T01019
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,EQ,INE022Q01020
IFBIND,IFB Industries,,EQ,INE559A01017
IFCI,IFCI Ltd.,FINANCIAL SERVICES,EQ,INE039A01010
IGIL,International Ge,,EQ,INE0Q9301021
IGL,Indraprastha Gas Ltd.,ENERGY,EQ,INE203G01027
IIFL,IIFL Finance,,EQ,INE530B01024
IIFLCAPS,IIFL Securities,,EQ,INE489L01022
IKS,Inventurus Knowl,,EQ,INE115Q01022
IMFA,IMFA,,EQ,INE919H01018
INDGN,Indegene,,EQ,INE065X01017
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,EQ,INE053A01029
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE383A01012
INDIAGLYCO,India Glycols,,EQ,INE560A01023
INDIAMART,Indiamart Inter.,,EQ,INE933S01016
INDIANB,Indian Bank,FINANCIAL SERVICES,EQ,INE562A01011
INDIASHLTR,India Shelter Fin.,,EQ,INE922K01024
INDIGO,InterGlobe Aviation Ltd.,SERVICES,EQ,INE646L01027
INDIGOPNTS,Indigo Paints,,EQ,INE09VQ01012
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,EQ,INE095A01012
INDUSTOWER,Indus Towers,,EQ,INE121J01017
INFY,Infosys Ltd.,IT,EQ,INE009A01021
INOXGREEN,Inox Green Energy Se,,EQ,INE510W01014
INOXINDIA,Inox India,,EQ,INE616N01034
INOXWIND,Inox Wind Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE066P01011
INTELLECT,Intellect Design Arena Ltd.,IT,EQ,INE306R01017
IOB,Indian Overseas Bank ,FINANCIAL SERVICES,EQ,INE565A01014
IOC,Indian Oil Corporation Ltd.,ENERGY,EQ,INE242A01010
IONEXCHANG,Ion Exchange,,EQ,INE570A01022
IPCALAB,Ipca Laboratories Ltd.,PHARMA,EQ,INE571A01038
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION,EQ,INE821I01022
IRCON,IRCON International Ltd.,CONSTRUCTION,EQ,INE962Y01021
IRCTC,I R C T C,,EQ,INE335Y01020
IREDA,Indian Renewable,,EQ,INE202E01016
IRFC,I R F C,,EQ,INE053F01010
ITC,ITC Ltd.,CONSUMER GOODS,EQ,INE154A01025
ITCHOTELS,ITC Hotels,,EQ,INE379A01028
ITI,ITI Ltd.,TELECOM,EQ,INE248A01017
IXIGO,Le Travenues Techno,,EQ,INE0HV901016
JAIBALAJI,Jai Balaji Inds,,BE,INE091G01026
JAINREC,Jain Resource,,EQ,INE0YD401026
JAMNAAUTO,Jamna Auto Inds,,EQ,INE039C01032
JAYNECOIND,Jayaswal Neco Inds,,EQ,INE854B01010
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,EQ,INE572A01036
JBMA,JBM Auto,,EQ,INE927D01051
JINDALSAW,Jindal Saw Ltd.,METALS,EQ,INE324A01032
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,EQ,INE749A01030
JIOFIN,Jio Financial,,EQ,INE758E01017
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ,INE823G01014
JKLAKSHMI,JK Lakshmi Cement,,EQ,INE786A01032
JKPAPER,JK Paper,,EQ,INE789E01012
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE,EQ,INE573A01042
JLHL,Jupiter Life Line,,EQ,INE682M01012
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES,EQ,INE780C01023
JPPOWER,JP Power Ven.,,EQ,INE351F01018
JSFB,Jana Small Fin. Bank,,EQ,INE953L01027
JSL,Jindal Stainless Ltd.,METALS,EQ,INE220G01021
JSLL,Jeena Sikho Life,,EQ,INE0J5801029
JSWCEMENT,JSW Cement,,EQ,INE718I01012
JSWDULUX,JSW Dulux,,EQ,INE133A01011
JSWENERGY,JSW Energy Ltd.,ENERGY,EQ,INE121E01018
JSWINFRA,JSW Infrast,,EQ,INE880J01026
JSWSTEEL,JSW Steel Ltd.,METALS,EQ,INE019A01038
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,EQ,INE797F01020
JUBLINGREA,Jubilant Ingrev.,,EQ,INE0BY001018
JUBLPHARMA,Jubilant Pharmo,,EQ,INE700A01033
JUSTDIAL,Just Dial,,EQ,INE599M01018
JWL,Jupiter Wagons,,EQ,INE209L01016
JYOTHYLAB,Jyothy Labs,,EQ,INE668F01031
JYOTICNC,Jyoti CNC Auto.,,EQ,INE980O01024
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION,EQ,INE217B01036
KALYANKJIL,Kalyan Jewellers,,EQ,INE303R01014
KANSAINER,Kansai Nerolac,,EQ,INE531A01024
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,EQ,INE036D01028
KAYNES,Kaynes Tech,,EQ,INE918Z01012
KEC,Kec International Ltd.,CONSTRUCTION,EQ,INE389H01022
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE878B01027
KFINTECH,KFin Technolog.,,EQ,INE138Y01010
KIMS,Krishna Institu.,,EQ,INE967H01025
KIRLOSBROS,Kirloskar Brothers,,EQ,INE732A01036
KIRLOSENG,Kirloskar Oil Eng Ltd.,INDUSTRIAL MANUFACTURING,EQ,INE146L01010
KIRLPNU,Kirloskar Pneumatic,,EQ,INE811A01020
KITEX,Kitex Garments,,EQ,INE602G01020
KNRCON,KNR Constructions,,EQ,INE634I01029
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,EQ,INE237A01036
KPIGREEN,KPI Green Energy,,EQ,INE542W01025
KPIL,Kalpataru Proj.,,EQ,INE220B01022
KPITTECH,KPIT Technologi.,,EQ,INE04I401011
KPRMILL,K.P.R. Mill Ltd.,TEXTILES,EQ,INE930H01031
KRBL,KRBL,,EQ,INE001B01026
KRN,KRN Heat Exch Refrig,,BE,INE0Q3J01015
KSB,KSB,,EQ,INE999A01023
KSCL,Kaveri Seed Co,,EQ,INE455I01029
KTKBANK,Karnataka Bank,,EQ,INE614B01018
