company_name,industry,nse_symbol,series,isin
Pfizer Ltd.,PHARMA,PFIZER,EQ,INE182A01018
Phoenix Mills Ltd.,CONSTRUCTION,PHOENIXLTD,EQ,INE211B01039
Physicswallah,,PWL,EQ,INE0LP301011
Pidilite Industries Ltd.,CHEMICALS,PIDILITIND,EQ,INE318A01026
Pine Labs,,PINELABS,EQ,INE15B701018
Piramal Finance.,,PIRAMALFIN,EQ,INE202B01038
Piramal Pharma,,PPLPHARMA,EQ,INE0DK501011
Poly Medicure,,POLYMED,EQ,INE205C01021
Polycab India,,POLYCAB,EQ,INE455K01017
Poonawalla Fin,,POONAWALLA,EQ,INE511C01022
Power Finance Corporation Ltd.,FINANCIAL SERVICES,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,ENERGY,POWERGRID,EQ,INE752E01010
Premier Energies,,PREMIERENE,EQ,INE0BS701011
Prestige Estates Projects Ltd.,CONSTRUCTION,PRESTIGE,EQ,INE811K01011
Punjab National Bank,FINANCIAL SERVICES,PNB,EQ,INE160A01022
R R Kabel,,RRKABEL,EQ,INE777K01022
RBL Bank Ltd.,FINANCIAL SERVICES,RBLBANK,EQ,INE976G01028
REC Ltd.,FINANCIAL SERVICES,RECLTD,EQ,INE020B01018
RHI Magnesita,,RHIM,EQ,INE743M01012
RITES Ltd.,CONSTRUCTION,RITES,EQ,INE320J01015
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas,,RVNL,EQ,INE415G01027
Railtel Corpn.,,RAILTEL,EQ,INE0DD101019
Rainbow Child.,,RAINBOW,EQ,INE961O01016
Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,RKFORGE,EQ,INE399G01023
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026
Reliance Industries Ltd.,ENERGY,RELIANCE,EQ,INE002A01018
Reliance Power Ltd.,ENERGY,RPOWER,EQ,INE614G01033
SBFC Finance,,SBFC,EQ,INE423Y01016
SBI Cards,,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,SBILIFE,EQ,INE123W01016
SJVN Ltd.,ENERGY,SJVN,EQ,INE002L01015
SRF Ltd.,TEXTILES,SRF,EQ,INE647A01010
Sagility,,SAGILITY,EQ,INE0W2G01015
Sai Life,,SAILIFE,EQ,INE570L01029
Sammaan Capital,,SAMMAANCAP,EQ,INE148I01020
Samvardh. Mothe.,,MOTHERSON,EQ,INE775A01035
Sapphire Foods,,SAPPHIRE,EQ,INE806T01020
Sarda Energy,,SARDAEN,EQ,INE385C01021
Saregama India,,SAREGAMA,EQ,INE979A01025
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,EQ,INE513A01022
Schneider Elect.,,SCHNEIDER,EQ,INE839M01018
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
Shriram Finance,,SHRIRAMFIN,EQ,INE721A01047
Shyam Metalics,,SHYAMMETL,EQ,INE810G01011
Siemens Ener.Ind,,ENRIN,EQ,INE1NPP01017
Siemens Ltd.,INDUSTRIAL MANUFACTURING,SIEMENS,EQ,INE003A01024
SignatureGlobal,,SIGNATURE,EQ,INE903U01023
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Solar Industries India Ltd.,CHEMICALS,SOLARINDS,EQ,INE343H01029
Sona BLW Precis.,,SONACOMS,EQ,INE073K01018
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
Star Health Insu,,STARHEALTH,EQ,INE575P01011
State Bank of India,FINANCIAL SERVICES,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,METALS,SAIL,EQ,INE114A01011
Sumitomo Chemi.,,SUMICHEM,EQ,INE258G01013
Sun Pharmaceutical Industries Ltd.,PHARMA,SUNPHARMA,EQ,INE044A01036
Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,SUNTV,EQ,INE424H01027
Sundaram Finance Ltd.,FINANCIAL SERVICES,SUNDARMFIN,EQ,INE660A01013
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,EQ,INE195A01028
Supreme Petroch.,,SPLPETRO,EQ,INE663A01033
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
Swan Corp,,SWANCORP,EQ,INE665A01038
Swiggy,,SWIGGY,EQ,INE00H001014
Syngene International Ltd.,PHARMA,SYNGENE,EQ,INE398R01022
Syrma SGS Tech.,,SYRMA,EQ,INE0DYJ01015
T R I L,,TARIL,EQ,INE763I01026
TBO Tek,,TBOTEK,EQ,INE673O01025
TVS Motor Company Ltd.,AUTOMOBILE,TVSMOTOR,EQ,INE494B01023
Tata Capital,,TATACAP,EQ,INE976I01016
Tata Chemicals Ltd.,CHEMICALS,TATACHEM,EQ,INE092A01019
Tata Comm,,TATACOMM,EQ,INE151A01013
Tata Consultancy Services Ltd.,IT,TCS,EQ,INE467B01029
Tata Consumer,,TATACONSUM,EQ,INE192A01025
Tata Elxsi Ltd.,IT,TATAELXSI,EQ,INE670A01012
Tata Investment Corporation Ltd.,FINANCIAL SERVICES,TATAINVEST,EQ,INE672A01026
Tata Motors,,TMCV,EQ,INE1TAE01010
Tata Motors PVeh,,TMPV,EQ,INE155A01022
Tata Power Co. Ltd.,ENERGY,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01020
Tata Technolog.,,TATATECH,EQ,INE142M01025
Tata Tele. Mah.,,TTML,EQ,INE517B01013
Tech Mahindra Ltd.,IT,TECHM,EQ,INE669C01036
Techno Elec.Engg,,TECHNOE,EQ,INE285K01026
Tega Inds.,,TEGA,EQ,INE011K01018
Tejas Networks,,TEJASNET,EQ,INE010J01012
Tenneco Clean,,TENNIND,EQ,INE19RI01016
The New India Assurance Company Ltd.,FINANCIAL SERVICES,NIACL,EQ,INE470Y01017
The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,RAMCOCEM,EQ,INE331A01037
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,EQ,INE152A01029
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Titagarh Rail,,TITAGARH,EQ,INE615H01020
Titan Company Ltd.,CONSUMER GOODS,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals Ltd.,PHARMA,TORNTPHARM,EQ,INE685A01028
Torrent Power Ltd.,ENERGY,TORNTPOWER,EQ,INE813H01021
Travel Food,,TRAVELFOOD,EQ,INE103V01028
Trent Ltd.,CONSUMER GOODS,TRENT,EQ,INE849A01020
Trident Ltd.,TEXTILES,TRIDENT,EQ,INE064C01022
Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,TRITURBINE,EQ,INE152M01016
Tube Investments of India Ltd.,AUTOMOBILE,TIINDIA,EQ,INE974X01010
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
UPL Ltd.,FERTILISERS & PESTICIDES,UPL,EQ,INE628A01036
UTI AMC,,UTIAMC,EQ,INE094J01016
UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,EQ,INE481G01011
Union Bank of India,FINANCIAL SERVICES,UNIONBANK,EQ,INE692A01016
United Breweries Ltd.,CONSUMER GOODS,UBL,EQ,INE686F01025
United Spirits,,UNITDSPR,EQ,INE854D01024
Uno Minda,,UNOMINDA,EQ,INE405E01023
Urban Company,,URBANCO,EQ,INE0CAZ01013
Usha Martin,,USHAMART,EQ,INE228A01035
Vardhman Textiles Ltd.,TEXTILES,VTL,EQ,INE825A01020
Varun Beverages Ltd.,CONSUMER GOODS,VBL,EQ,INE200M01039
Vedanta Ltd.,METALS,VEDL,EQ,INE205A01025
Vijaya Diagnost.,,VIJAYA,EQ,INE043W01024
Vishal Mega Mart,,VMM,EQ,INE01EA01019
Vodafone Idea Ltd.,TELECOM,IDEA,EQ,INE669E01016
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
Waaree Energies,,WAAREEENER,EQ,INE377N01017
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Welspun Living,,WELSPUNLIV,EQ,INE192B01031
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
Wipro Ltd.,IT,WIPRO,EQ,INE075A01022
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
Yes Bank Ltd.,FINANCIAL SERVICES,YESBANK,EQ,INE528G01035
ZF Commercial,,ZFCVINDIA,EQ,INE342J01019
Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,ZEEL,EQ,INE256A01028
Zen Technologies,,ZENTEC,EQ,INE251B01027
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01027
Zydus Lifesci.,,ZYDUSLIFE,EQ,INE010B01027
Zydus Wellness Ltd.,CONSUMER GOODS,ZYDUSWELL,EQ,INE768C01028
eClerx Services Ltd.,IT,ECLERX,EQ,INE738I01010
